code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01142,3151.2309292649097,32,3184.902597402597,26.0,2439.0243902439024,6.0,2020,Dagneux,01
01143,5384.615384615385,105,5563.063063063063,36.0,5122.222222222223,69.0,2020,Divonne-les-Bains,01
01145,1979.6,11,1979.6,11.0,,,2020,Dompierre-sur-Veyle,01
01147,1044.4444444444443,13,1419.7530864197531,9.0,1044.4444444444443,4.0,2020,Domsure,01
01148,1718.8799762329172,8,1540.4040404040402,6.0,2580.8823529411766,2.0,2020,Dortan,01
01149,1985.2941176470588,9,1985.2941176470588,9.0,,,2020,Douvres,01
01151,1931.8181818181813,9,1931.8181818181813,9.0,,,2020,Druillat,01
01152,1884.6153846153843,10,1927.0833333333333,7.0,844.1558441558442,3.0,2020,Échallon,01
01153,4444.444444444444,25,4458.598726114649,15.0,4434.426229508197,10.0,2020,Échenevex,01
01157,2609.055555555556,20,2650.0,19.0,2153.846153846154,1.0,2020,Fareins,01
01158,3813.793103448276,9,3994.3965517241377,8.0,3795.4545454545455,1.0,2020,Farges,01
01159,1593.076923076923,15,1720.9082094376213,14.0,1173.59649122807,1.0,2020,Feillens,01
01160,3921.875,211,4537.854351224596,8.0,3898.064516129032,203.0,2020,Ferney-Voltaire,01
01163,1754.2986425339368,18,1754.2986425339368,18.0,,,2020,Foissiat,01
01165,2574.2574257425745,39,2397.1729957805906,35.0,6032.005048287972,4.0,2020,Francheleins,01
01166,3056.7375886524824,24,3056.7375886524824,23.0,2393.617021276596,1.0,2020,Frans,01
01167,2412.7218934911243,7,2412.7218934911243,7.0,,,2020,Garnerans,01
01169,2092.3076923076924,11,2566.3716814159293,9.0,1411.092530657748,2.0,2020,Genouilleux,01
01171,1493.6188811188808,8,1493.6188811188808,8.0,,,2020,Géovreisset,01
01173,4322.033898305085,123,5027.353846153847,35.0,4041.176470588235,88.0,2020,Gex,01
01175,1701.8867924528302,7,1701.8867924528302,7.0,,,2020,Gorrevod,01
01179,1984.873949579832,21,1987.0606307038945,18.0,1877.551020408164,3.0,2020,Grièges,01
