code_commune,nom_commune,code_departement,latitude,longitude,commune_prix_m2,commune_volume,commune_prix_m2_maison,commune_volume_maison,commune_prix_m2_appart,commune_volume_appart,dept_prix_m2,dept_prix_m2_maison,dept_prix_m2_appart,commune_prix_m2_2020,commune_prix_m2_2024,evolution_5ans_pct,commune_prix_m2_2023,evolution_1an_pct,population_2023,evolution_pop_5_ans,evolution_pop_10_ans,revenu_median,taux_pauvrete,nb_equipements_total,equipements_par_1000_habitants,nb_equipements_dom_C,nb_equipements_dom_D,nb_equipements_dom_B,taux_cambriolages,taux_vols_total,taux_violences_total,distance_gare_km,gare_moins_5km,gare_moins_10km,score_immobilier,score_dynamisme,score_revenus,score_equipements,score_securite,score_transport,score_attractivite
01024,Attignat,01,46.284558,5.161825,2307.5287937712114,229,2315.8129759366434,186.0,2182.7334241382964,43.0,2624.447729710821,2500.0,2943.6619718309857,1873.7373737373737,2441.860465116279,30.3,2354.5454545454545,3.7,3409.0,0.0666458072590738,0.0457055214723926,24460.0,7.0,448.0,131.41683778234088,6.0,78.0,39.0,11.7094489,7.169056100000001,5.4752171,5.3,0.0,1.0,42.9,83.6,76.9,47.4,9.4,68.1,57.7
01025,Bâgé-Dommartin,01,46.3205685,4.9482455,2207.437698433204,257,2213.1265603994625,239.0,2307.395757946891,18.0,2624.447729710821,2500.0,2943.6619718309857,2032.608695652174,2188.4174311926604,7.7,2280.487804878049,-4.0,4050.0,-0.0068661108386463,0.0034687809712586,24880.0,6.0,372.0,91.85185185185183,9.0,48.0,27.0,9.0935045,7.2785534,4.7510122,7.2,0.0,1.0,34.1,42.8,80.8,18.5,14.2,56.2,43.1
01026,Bâgé-le-Châtel,01,46.308962,4.929513,2386.6833172706442,75,2217.2619047619046,57.0,2958.3490246290576,18.0,2624.447729710821,2500.0,2943.6619718309857,1941.7061237373741,2339.1304347826085,20.5,2439.0502437990244,-4.1,971.0,0.0242616033755274,0.135672514619883,22860.0,,164.0,168.89804325437694,9.0,33.0,12.0,7.967921,5.1015269,5.4752171,5.4,0.0,1.0,37.4,64.2,57.7,69.6,23.2,67.4,53.2
01027,Balan,01,45.834965,5.102095,3151.8446186544074,110,3155.8560924369754,81.0,2752.1296610833833,29.0,2624.447729710821,2500.0,2943.6619718309857,3197.972972972973,3040.0,-4.9,3220.0,-5.6,3077.0,0.2244329486669319,0.088048090523338,25770.0,,340.0,110.49723756906076,9.0,18.0,27.0,7.967921,6.8241727,5.4752171,2.3,1.0,1.0,15.6,98.7,87.1,31.6,16.6,87.8,56.2
01028,Baneins,01,46.112843,4.904488,2680.367005476981,61,2638.5166240409208,60.0,2951.5690635038295,1.0,2624.447729710821,2500.0,2943.6619718309857,1487.848217356414,2611.4130434782605,75.5,3070.1754385964914,-14.9,621.0,0.0180327868852459,0.0837696335078534,25520.0,,108.0,173.91304347826087,3.0,0.0,0.0,7.967921,7.169056100000001,5.4752171,13.6,0.0,0.0,45.0,60.3,85.6,71.8,15.9,27.2,55.5
01029,Beaupont,01,46.4231985,5.263966,1735.3419591846864,68,1712.478818687969,66.0,2857.0163178559847,2.0,2624.447729710821,2500.0,2943.6619718309857,1734.720320416267,1539.2156862745098,-11.3,1428.571428571429,7.7,734.0,0.0684133915574963,0.0841949778434268,21350.0,,84.0,114.44141689373296,3.0,6.0,6.0,7.967921,7.169056100000001,5.4752171,5.5,0.0,1.0,37.0,84.2,24.4,34.6,15.9,66.7,44.4
01030,Beauregard,01,46.001874,4.751328,2254.0140365339107,93,2271.941125541126,40.0,2392.584921292462,53.0,2624.447729710821,2500.0,2943.6619718309857,2236.61971830986,2442.4560339599757,9.2,2127.659574468085,14.8,872.0,0.0283018867924528,-0.0045662100456621,24240.0,,144.0,165.1376146788991,3.0,0.0,6.0,7.967921,7.169056100000001,5.4752171,3.1,1.0,1.0,34.0,66.6,74.8,67.9,15.9,83.2,56.9
01031,Bellignat,01,46.248156,5.634583,1788.327913059898,212,2214.98176942823,80.0,1568.440696736559,132.0,2624.447729710821,2500.0,2943.6619718309857,1687.2619047619048,1555.5555555555557,-7.8,1446.7384615384617,7.5,3525.0,-0.0294603524229074,-0.0331870543060888,20550.0,20.0,488.0,138.43971631205673,27.0,48.0,51.0,7.967921,9.1174246,5.3501758,1.1,1.0,1.0,40.0,27.9,14.6,52.3,12.2,93.2,36.9
01032,Béligneux,01,45.852688,5.127292,2939.639952277331,185,3015.0456595885134,107.0,2742.151195230239,78.0,2624.447729710821,2500.0,2943.6619718309857,2668.125,2894.736842105264,8.5,3143.377976190476,-7.9,3535.0,0.0549089823933154,0.0699152542372881,23060.0,8.0,464.0,131.2588401697313,12.0,72.0,30.0,11.0262229,9.4204323,7.884909499999999,0.5,1.0,1.0,24.2,79.5,60.5,47.3,6.1,97.3,51.5
01033,Valserhône,01,46.108841,5.822706,2527.189367576685,1670,2855.2083333333335,465.0,2446.692668983396,1205.0,2624.447729710821,2500.0,2943.6619718309857,2376.8115942028985,2750.0,15.7,2595.3947692307693,6.0,16712.0,0.0171018197309962,0.0545844639363917,23780.0,17.0,2700.0,161.56055528961224,39.0,339.0,294.0,7.1745314,20.1549736,9.9928195,0.1,1.0,1.0,32.5,59.7,69.7,66.1,2.4,99.9,54.2
01034,Belley,01,45.758148500000004,5.686515,2187.4224151917215,912,2139.0625,385.0,2254.898394054363,527.0,2624.447729710821,2500.0,2943.6619718309857,1826.923076923077,2244.565217391304,22.9,2320.5128205128203,-3.3,9388.0,0.0291602718702039,0.0537658547536199,21180.0,18.0,2196.0,233.91563698338305,39.0,471.0,303.0,5.1360091,10.5466788,9.3736685,10.4,0.0,0.0,42.7,67.0,21.9,87.8,8.7,39.4,46.4
01035,Belleydoux,01,46.253211,5.776804,2475.222549627121,18,2393.0423509075194,11.0,2835.6407383696114,7.0,2624.447729710821,2500.0,2943.6619718309857,1250.0,,,2178.5046728971965,,306.0,-0.0192307692307692,-0.0642201834862385,26160.0,,40.0,130.71895424836603,0.0,0.0,3.0,7.967921,3.9900291,4.0780581,9.5,0.0,1.0,,34.4,89.0,46.9,36.4,43.5,
01036,Valromey-sur-Séran,01,45.889068,5.664327,1872.9028295623284,132,1919.990238460466,127.0,2600.6036217303817,5.0,2624.447729710821,2500.0,2943.6619718309857,1825.0,1981.733333333333,8.6,2083.333333333333,-4.9,1351.0,0.0234848484848484,0.088638195004029,23820.0,,120.0,88.82309400444116,0.0,0.0,3.0,7.967921,5.583359,5.4752171,4.5,1.0,1.0,45.1,63.7,70.2,16.5,21.5,73.7,50.0
01037,Bénonces,01,45.827872,5.4748915,1912.598045247961,28,1847.3234082990182,26.0,2932.3775470158407,2.0,2624.447729710821,2500.0,2943.6619718309857,1110.0,2142.8571428571427,93.1,2900.0,-26.1,311.0,0.0298013245033112,0.1268115942028985,21770.0,,32.0,102.89389067524117,3.0,3.0,0.0,7.967921,6.0575583,5.4752171,10.7,0.0,0.0,61.9,67.4,30.5,26.1,19.2,38.1,44.7
01038,Bény,01,46.316947,5.284519,2242.154644509202,61,2189.939939939941,59.0,2949.6363803737454,2.0,2624.447729710821,2500.0,2943.6619718309857,2558.6614173228345,2111.111111111112,-17.5,1584.4671201814058,33.2,777.0,0.0318725099601593,0.0821727019498607,24250.0,,104.0,133.84813384813384,3.0,6.0,3.0,7.967921,5.854931,5.4752171,13.5,0.0,0.0,20.1,68.5,74.9,49.1,20.1,27.5,45.8
01039,Béon,01,,,2371.5623189091334,38,2336.3412633305993,38.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,1836.0195360195357,,,1615.6400966183573,,,,,,,,,,,,,,,,0.0,0.0,,47.7,50.0,0.2,98.6,1.5,
01040,Béréziat,01,46.366468,5.0461475,2146.358577848864,34,2123.624595469256,30.0,2999.815315848198,4.0,2624.447729710821,2500.0,2943.6619718309857,1935.4368932038835,2518.7525879917184,30.1,1610.4321257092975,56.4,475.0,-0.0325865580448065,0.0106382978723404,23440.0,,68.0,143.15789473684208,3.0,3.0,0.0,7.967921,5.1015269,4.0780581,13.8,0.0,0.0,46.4,26.1,65.6,55.3,30.4,26.6,43.9
01041,Bettant,01,45.942696,5.364166,2201.515675759786,79,2021.0450729120635,58.0,8009.47155803035,21.0,2624.447729710821,2500.0,2943.6619718309857,1782.051282051282,1360.0,-23.7,11627.906976744183,-88.3,774.0,0.0389261744966442,0.0375335120643431,25150.0,,72.0,93.02325581395348,3.0,0.0,3.0,7.967921,6.0575583,5.4752171,2.1,1.0,1.0,21.1,72.4,83.0,19.3,19.2,88.8,50.1
01042,Bey,01,46.2181865,4.841403,2545.000354307763,24,2497.135842880524,24.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,2087.878787878788,2553.191489361702,22.3,3440.7894736842104,-25.8,286.0,0.0177935943060498,0.1,25520.0,,24.0,83.91608391608392,0.0,0.0,3.0,7.967921,3.9900291,1.3785446,5.3,0.0,1.0,35.6,60.1,85.6,13.9,52.9,68.1,52.2
01043,Beynost,01,45.836088000000004,4.9984015,3712.6407047925636,355,3803.552584299412,238.0,3456.0485442298054,117.0,2624.447729710821,2500.0,2943.6619718309857,3660.0000000000005,3274.715175451922,-10.5,3954.0825285338015,-17.2,5198.0,0.1097352690008539,0.1464490516100573,28730.0,6.0,1168.0,224.70180838784148,9.0,144.0,240.0,6.4879478,18.8497111,7.5347585,0.7,1.0,1.0,6.8,92.6,96.1,86.3,3.8,95.6,62.3
01044,Billiat,01,46.076703,5.783672,2765.029852257035,46,2772.0700152207,39.0,2613.8838655173777,7.0,2624.447729710821,2500.0,2943.6619718309857,3161.2903225806454,3500.0,10.7,2745.454545454545,27.5,713.0,0.1281645569620253,0.2335640138408304,28550.0,,60.0,84.15147265077138,3.0,0.0,3.0,7.967921,7.4406281,5.4752171,4.8,1.0,1.0,26.9,94.7,95.9,13.9,15.3,71.7,55.6
01045,Birieux,01,45.96356350000001,5.0391135,2271.4431829264063,18,2405.0290135396517,10.0,2358.0755503596897,8.0,2624.447729710821,2500.0,2943.6619718309857,,3486.842105263158,,611.1111111111111,470.6,275.0,-0.0213523131672597,-0.0178571428571428,28180.0,,28.0,101.81818181818184,0.0,0.0,0.0,7.967921,1.5856971,1.397159,4.6,1.0,1.0,,33.0,95.3,25.3,66.8,73.1,
01046,Biziat,01,46.222069000000005,4.94083,2227.801511233374,96,2210.9842504616418,96.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,2000.0,2545.454545454545,27.3,2182.4621397166584,16.6,889.0,0.005656108597285,0.078883495145631,24260.0,,108.0,121.4848143982002,3.0,9.0,0.0,7.967921,7.169056100000001,5.4752171,4.0,1.0,1.0,43.4,51.8,75.0,40.0,15.9,77.2,51.5
01047,Blyes,01,45.847545,5.250364,3015.7252182786215,86,3050.8558917197456,81.0,2849.6383707651307,5.0,2624.447729710821,2500.0,2943.6619718309857,2683.969465648855,3152.866242038217,17.5,2705.8823529411766,16.5,1401.0,0.2806215722120658,0.4841101694915254,27110.0,,208.0,148.46538187009278,3.0,18.0,6.0,7.967921,7.169056100000001,5.4752171,7.5,0.0,1.0,28.7,99.3,92.8,58.6,15.9,54.4,61.4
01049,La Boisse,01,45.843275,5.0327494999999995,3355.2314126607866,220,3436.6636931311327,175.0,2673.415492957746,45.0,2624.447729710821,2500.0,2943.6619718309857,3056.3380281690143,3188.6554621848745,4.3,3332.222222222222,-4.3,3449.0,0.0678018575851393,0.17833959685685,26780.0,,540.0,156.56712090461002,12.0,69.0,21.0,8.6551947,11.1353208,6.1076319,2.1,1.0,1.0,19.4,84.0,91.6,63.4,7.9,88.8,59.2
