code_departement,prix_m2_median_tous,nb_transactions,prix_m2_median_maison,prix_m2_median_appart,annee
36,1101.26582278481,4944,1074.074074074074,1418.6046511627908,2021
37,2239.402985074627,13558,2086.875,2643.529411764706,2021
38,2685.185185185185,27257,2637.7952755905512,2733.333333333333,2021
39,1617.283950617284,5953,1543.6346153846152,1800.6097560975609,2021
40,2494.74697469747,11682,2343.75,3000.0,2021
41,1524.3902439024391,8433,1491.5254237288136,1769.6935096153848,2021
42,1794.2810457516339,17720,1989.010989010989,1509.6774193548388,2021
43,1476.095238095238,5032,1444.7058823529412,1562.5,2021
44,3146.3414634146343,31144,2853.5353535353534,3673.469387755102,2021
45,1893.939393939394,15799,1786.9611414693381,2365.2,2021
46,1650.0,5044,1629.6296296296296,1831.989247311828,2021
47,1588.235294117647,9583,1571.428571428571,1664.781746031746,2021
48,1555.5555555555557,1525,1434.4544940644432,1973.684210526316,2021
49,2069.971440228478,16664,1897.7272727272727,2857.1428571428573,2021
50,1747.567816091954,13982,1684.3382728666325,2526.0313457034767,2021
51,2163.4615384615386,10873,1879.032258064516,2622.222222222222,2021
52,1114.9923076923078,3126,1056.1818181818182,1515.1515151515152,2021
53,1460.3174603174602,7571,1370.967741935484,2148.185483870968,2021
54,1961.5384615384608,15767,1793.4604419101925,2190.4761904761904,2021
55,1177.4305555555557,3644,1063.7330754352029,1850.7699560025142,2021
56,2363.6363636363635,20828,2169.905660377359,3080.1713586291307,2021
58,1123.4567901234568,5619,1068.3760683760684,1439.5121951219512,2021
59,2217.8571428571427,49213,1900.990099009901,3375.0,2021
60,2324.561403508772,15419,2258.8701923076924,2641.509433962264,2021
61,1363.6363636363635,7970,1331.6470588235295,1816.6666666666667,2021
62,1775.0,26289,1645.8333333333333,3092.6767676767677,2021
63,1944.4444444444443,14030,1754.7058823529412,2168.292682926829,2021
64,2662.7717391304345,16730,2251.111111111112,3336.6666666666665,2021
65,1666.6666666666667,6242,1590.909090909091,1864.1975308641968,2021
66,2360.0,16059,2333.333333333333,2422.7777777777774,2021
69,3990.7670454545455,35206,3797.245738636364,4068.1892697466465,2021
70,1287.3563218390805,4411,1244.392394366197,1431.868131868132,2021
71,1480.6946929039952,12990,1475.6363636363635,1500.0,2021
72,1567.741935483871,13852,1527.7777777777778,1784.6153846153843,2021
73,3341.8994413407822,12721,2943.0989804587934,3529.4117647058824,2021
74,4139.0625,21714,4136.573220686124,4141.219891219891,2021
75,10609.756097560976,30779,11343.076923076924,10608.695652173914,2021
76,2168.5393258426966,28494,2009.345794392524,2682.5396825396824,2021
77,3200.0,30062,2943.589743589744,3671.875,2021
78,4012.5453301402667,25888,3846.153846153846,4176.025991792065,2021
79,1352.9411764705883,9721,1278.888888888889,2200.0,2021
80,1800.0,11996,1610.1694915254238,2964.285714285714,2021
81,1781.060606060606,8827,1709.5238095238096,2146.5023847376788,2021
82,1820.224719101124,6260,1812.5,1858.1488933601609,2021
83,3744.68085106383,38515,3784.996482765551,3685.185185185185,2021
84,2748.8057929724596,12522,2867.090647699758,2419.136878814298,2021
85,2304.878048780488,19305,2178.2178217821784,3125.0,2021
86,1582.7586206896551,10108,1439.3939393939395,2307.692307692308,2021
87,1598.2142857142858,9408,1500.0,1816.4912280701753,2021
88,1396.3855421686746,8567,1335.857142857143,1508.4540579710144,2021
89,1448.5981308411217,8775,1390.0,1770.2702702702702,2021
90,1657.5892857142858,2626,1775.78125,1536.5853658536585,2021
91,3389.830508474576,21979,3500.0,3232.558139534884,2021
92,7181.818181818182,25805,8126.923076923077,7066.666666666667,2021
93,4276.438933333334,21148,4182.255244755244,4305.763492063492,2021
94,5138.196286472148,20382,5298.076923076923,5094.33962264151,2021
95,3609.6385542168673,19595,3729.811507936508,3500.0,2021
